Job#,Carrier,Entry Type (1),Entry Numbers,Supplier,Importer,Load,Discharge,Master UCR
B00048662,INTCARHOU1,IMZ,MEFSWLHOU0000000320334 24GB2ED7E7E3Q3KAR9 4GB849450791000-B00048662 ,NATURE'S PRIDE B.V,NATURE'S PRIDE B.V,NLHVH,GBHRW,
B00048677,FRELINRTM,IMZ,MEFSWLHOU0000000320354 24GB2EE7PS1VBRWAR3 4GB849450791000-B00048677 ,GREEN MUSHROOM FARM BV,GREEN MUSHROOM FARM BV,NLHVH,GBHRW,
B00048678,FRELINRTM,IMZ,MEFSWLHOU0000000321344 24GB2LQTFIBCYCPAR5 4GB849450791000-B00048678 ,T.O.F.F BV,T.O.F.F BV,NLHVH,GBHRW,
B00048729,INTCARLON,IMZ,MEFSWLHOU0000000321366 24GB2LSGYJIA4Y3AR1 4GB849450791000-B00048729 ,B.J.VAN DUYVENVOORDE,VAN DUYVENVOORDE UK LIMITED,FRCQF,GBFOL,
B00048730,RCSCUSRTM,IMZ,MEFSWLHOU0000000321370 24GB2LSN1A7AJIUAR8 4GB849450791000-B00048730 ,B.J.VAN DUYVENVOORDE,VAN DUYVENVOORDE UK LIMITED,FRCQF,GBFOL,
B00048731,RCSCUSRTM,IMZ,MEFSWLHOU0000000321389 24GB2LU9M7ZAS7MAR0 4GB849450791000-B00048731 ,B.J.VAN DUYVENVOORDE,VAN DUYVENVOORDE UK LIMITED,FRCQF,GBFOL,
B00048732,RCSCUSRTM,IMZ,MEFSWLHOU0000000321398 24GB2LUST7KR4AGAR7 4GB849450791000-B00048732 ,B.J.VAN DUYVENVOORDE,VAN DUYVENVOORDE UK LIMITED,FRCQF,GBFOL,
